"","duration","orig_bytes","resp_bytes","orig_ip_bytes","resp_ip_bytes","http"
"73360",0.00995033085316809,5.32787616878958,7.40000951716269,6.35957386867238,7.55171221535131,0
"35528",0.0295588022415444,5.82008293035236,7.10578612948127,6.40522845803084,7.26892012819372,0
"64084",0.048790164169432,5.72358510195238,6.19847871649231,6.35262939631957,6.48616078894409,0
"84340",0.0198026272961797,6.06378520868761,7.51261754467451,6.62007320653036,7.6004023345004,0
"218521",0.00995033085316809,5.72358510195238,6.13988455222626,6.35262939631957,6.35610766069589,0
"36501",0.0582689081239758,5.92692602597041,7.13966033596492,6.54391184556479,7.29776828253138,0
"146843",0.00995033085316809,3.89182029811063,0,4.97673374242057,0,1
"37606",0.0861776962410524,6.63594655568665,9.36434818445553,7.23993259132047,9.41711060917245,1
"107413",1.79342474854712,4.23410650459726,0,4.8283137373023,0,1
"73991",0.0392207131532813,6.24222326545517,9.00589589809446,6.83087423464618,9.0505236705223,0
"207824",0.0198026272961797,5.82304589548302,8.16905314992734,6.56526497003536,8.25582842728183,0
"100959",0.00995033085316809,6.0137151560428,6.3578422665081,6.51767127291227,6.60800062529609,0
"209202",0.048790164169432,5.88887795833288,6.26909628370626,6.44413125670044,6.53958595561767,0
"71399",0.0392207131532813,6.16541785423142,9.00380808646717,6.69456205852109,9.04852707581358,0
"84339",0.0769610411361284,5.77765232322266,7.51261754467451,6.46614472423762,7.6004023345004,0
"36163",0.0392207131532813,5.8171111599632,7.10332206252611,6.40357419793482,7.26682734752059,0
"71778",0.0392207131532813,6.13772705408623,9.01201137703641,6.67834211465433,9.06102796878917,0
"71938",0.207014169384326,6.07073772800249,9.01091334727929,6.63987583382654,9.05998249038762,0
"70916",0.0198026272961797,5.80211837537706,8.98494428560868,6.43454651878745,9.02569611981258,0
"71786",0.0295588022415444,6.2803958389602,9.00491394146713,6.76388490856244,9.05427118632629,0
"72279",0.113328685307003,6.24027584517077,9.00380808646717,6.69084227741856,9.05321861620397,0
"110743",0.392042087776024,9.94198685168674,10.8558980407166,10.1775143141649,10.9561780592903,0
"92436",0.00995033085316809,5.46383180502561,7.40062057737113,6.41017488196617,7.5522372875608,0
